intervention_idx,dose_original,factor,dose_new,rmse_factual,rmse_cf,true_effect_mean,pred_effect_mean,effect_error
29,6.1,0.8,4.88,5.035428171261311,14.420877194045163,17.444444444444443,5.528992339244874,11.91545210519957
29,6.1,1.2,7.319999999999999,5.035428171261311,12.748216799432514,-18.13888888888889,-10.846849542517763,7.292039346371126
29,6.1,1.5,9.149999999999999,5.035428171261311,26.709498175750642,-44.69444444444444,-25.563435838776766,19.131008605667677
30,5.6,0.5,2.8,17.217273096818783,33.713377250638686,42.55555555555556,4.476547747898748,38.07900780765681
30,5.6,0.8,4.4799999999999995,17.217273096818783,12.048580660639201,17.38888888888889,5.387117553663418,12.00177133522547
30,5.6,1.2,6.72,17.217273096818783,26.939086155919373,-15.972222222222221,-7.171897740081956,8.800324482140265
30,5.6,1.5,8.399999999999999,17.217273096818783,48.64449003070358,-39.55555555555556,-12.096483691944975,27.459071863610582
31,7.1,0.5,3.55,7.699662712641966,46.42511380622804,53.611111111111114,13.660803866118792,39.950307244992324
31,7.1,0.8,5.68,7.699662712641966,18.73419777124625,21.75,8.066136397591217,13.683863602408783
31,7.1,1.2,8.52,7.699662712641966,18.724479192984287,-21.305555555555557,-3.54150791126571,17.764047644289846
31,7.1,1.5,10.649999999999999,7.699662712641966,38.95337072294938,-47.52777777777778,-13.16812355451711,34.35965422326067
32,6.3,0.5,3.15,5.255930390129535,49.04808940490866,47.416666666666664,3.2872394901559923,44.129427176510674
32,6.3,0.8,5.04,5.255930390129535,17.87178557612032,19.305555555555557,3.5214084505643495,15.784147104991208
32,6.3,1.2,7.56,5.255930390129535,13.358580399791961,-17.5,-10.462198619900265,7.037801380099735
32,6.3,1.5,9.45,5.255930390129535,27.29361686926024,-45.111111111111114,-27.033660166340027,18.077450944771087
33,4.6,0.5,2.3,7.293777945989156,42.67755347980185,33.72222222222222,0.8005886275289673,32.921633594693255
33,4.6,0.8,3.6799999999999997,7.293777945989156,17.48560090017496,12.416666666666666,1.7937052616449816,10.622961405021684
33,4.6,1.2,5.52,7.293777945989156,7.9157003338045815,-14.777777777777779,-5.126632479592864,9.651145298184915
33,4.6,1.5,6.8999999999999995,7.293777945989156,24.516113352510462,-34.30555555555556,-12.64303577445057,21.662519781104987
34,7.3,0.5,3.65,11.742806436142923,64.97938898101869,53.72222222222222,2.1045497327981475,51.61767248942407
34,7.3,0.8,5.84,11.742806436142923,29.397142152316995,21.27777777777778,2.8055091130414027,18.472268664736376
34,7.3,1.2,8.76,11.742806436142923,14.38718515580848,-21.444444444444443,-13.856498962757112,7.587945481687331
34,7.3,1.5,10.95,11.742806436142923,25.909612220120223,-53.916666666666664,-36.119632669035056,17.79703399763161
35,6.6,0.5,3.3,11.233675713065226,43.40067069150712,48.27777777777778,11.540170158614456,36.73760761916332
35,6.6,0.8,5.28,11.233675713065226,16.57472558387268,18.944444444444443,8.107733922323838,10.836710522120605
35,6.6,1.2,7.919999999999999,11.233675713065226,18.385085375872475,-20.805555555555557,-9.194517473284984,11.611038082270573
35,6.6,1.5,9.899999999999999,11.233675713065226,33.80818279257256,-47.22222222222222,-20.636664644311402,26.58555757791082
36,5.8,0.5,2.9,7.333436136348255,52.12154524687434,43.97222222222222,1.2830450415181482,42.68917718070407
36,5.8,0.8,4.64,7.333436136348255,20.58210563776835,17.305555555555557,2.623106472068882,14.682449083486675
36,5.8,1.2,6.96,7.333436136348255,16.541287604340596,-16.944444444444443,-6.165746538809678,10.778697905634765
36,5.8,1.5,8.7,7.333436136348255,31.352979486547067,-42.47222222222222,-17.54858157865577,24.92364064356645
